TERMINACION,FECHA,CAMPO,TIPO DE REGISTRO,CERRADO(YAC),CERRADO(POZO),FLUYENDO(YAC),FLUYENDO(POZO)
SITIO GRANDE 1,14/03/1972,SITIO GRANDE,CERRADO,449.6,449.6,,
SITIO GRANDE 1,18/03/1972,SITIO GRANDE,CERRADO,449,449,,
SITIO GRANDE 1,02/05/1972,SITIO GRANDE,CERRADO,455.704,456.1,,
SITIO GRANDE 1,26/05/1972,SITIO GRANDE,FLUYENTE,,,446.716,458.2
SITIO GRANDE 1,28/05/1972,SITIO GRANDE,CERRADO,446.716,447.2,,
SITIO GRANDE 1,04/06/1972,SITIO GRANDE,FLUYENTE,,,451.604,451.64
SITIO GRANDE 1,13/06/1972,SITIO GRANDE,CERRADO,442.916,442.916,,
SITIO GRANDE 1,31/08/1972,SITIO GRANDE,FLUYENTE,,,443.416,443.4963
SITIO GRANDE 1,23/11/1972,SITIO GRANDE,CERRADO,336.004,336.022,,
SITIO GRANDE 1,10/04/1974,SITIO GRANDE,CERRADO,385.404,385.37,,
SITIO GRANDE 1,18/12/1974,SITIO GRANDE,FLUYENTE,,,355.604,355.4
SITIO GRANDE 1,05/04/1975,SITIO GRANDE,CERRADO,335.104,334.968,,
SITIO GRANDE 1,31/07/1975,SITIO GRANDE,FLUYENTE,,,353.604,353.706
SITIO GRANDE 1,01/08/1975,SITIO GRANDE,CERRADO,355.604,355.774,,
SITIO GRANDE 1,27/11/1975,SITIO GRANDE,FLUYENTE,,,355.104,355.274
SITIO GRANDE 1,24/07/1976,SITIO GRANDE,CERRADO,408.704,453.74,,
SITIO GRANDE 1,19/05/1978,SITIO GRANDE,FLUYENTE,,,,
SITIO GRANDE 1,12/07/1984,SITIO GRANDE,CERRADO,393.504,407.198,,
SITIO GRANDE 1,03/08/1984,SITIO GRANDE,FLUYENTE,,,399.324,401.16
SITIO GRANDE 1,14/08/1984,SITIO GRANDE,CERRADO,385.864,387.492,,
SITIO GRANDE 1,14/01/1985,SITIO GRANDE,FLUYENTE,,,374.684,377.116
SITIO GRANDE 1,08/03/1985,SITIO GRANDE,CERRADO,371.884,374.508,,
SITIO GRANDE 1,08/05/1985,SITIO GRANDE,FLUYENTE,,,372.604,376.048
SITIO GRANDE 1,11/07/1985,SITIO GRANDE,CERRADO,363.704,367.064,,
SITIO GRANDE 1,29/09/1985,SITIO GRANDE,FLUYENTE,,,434.704,438.568
SITIO GRANDE 1,07/06/1986,SITIO GRANDE,FLUYENTE,,,457.504,463.3598
SITIO GRANDE 1,18/10/1993,SITIO GRANDE,CERRADO,398.254,412.2554,,
SITIO GRANDE 1,21/12/1993,SITIO GRANDE,CERRADO,389.024,392.909,,
SITIO GRANDE 1,27/01/1994,SITIO GRANDE,CERRADO,371.644,374.8926,,
SITIO GRANDE 1,08/03/1994,SITIO GRANDE,CERRADO,379.504,383.3964,,
SITIO GRANDE 1,21/03/1997,SITIO GRANDE,CERRADO,375.164,379.0532,,
SITIO GRANDE 1,03/06/1997,SITIO GRANDE,CERRADO,369.034,373.2424,,
SITIO GRANDE 1,16/10/1997,SITIO GRANDE,CERRADO,364.434,367.394,,
SITIO GRANDE 1,24/12/1997,SITIO GRANDE,CERRADO,351.434,362.794,,
SITIO GRANDE 1,16/01/1998,SITIO GRANDE,CERRADO,353.964,366.7724,,
SITIO GRANDE 1,05/05/1998,SITIO GRANDE,CERRADO,336.966,337.0018,,
SITIO GRANDE 1,15/09/1998,SITIO GRANDE,CERRADO,354.244,367.0524,,
