pozo,fecha,aceite_bpd,aceite_bpm,agua_bpd,agua_bpm,gas_mmcfpd,gas_mmcfpm,wor,gor,wc
SITIO GRANDE 1,30/06/1972,3.564333333,106.93,0,0,0.005900027,0.177000808,0,294.8294118,0
SITIO GRANDE 1,31/07/1972,173.0764516,5365.37,0,0,0.328258111,10.17600143,0,337.8100821,0
SITIO GRANDE 1,31/08/1972,369.8722903,11466.041,0,0,0.834451616,25.86800009,0,401.831971,0
SITIO GRANDE 1,30/09/1972,1323.416,39702.48,3.124033333,93.72,2.488900009,74.66700028,0.002360583,334.9702155,0.235502379
SITIO GRANDE 1,31/10/1972,1013.29871,31412.26,2.231935484,69.19,2.2097097,68.50100069,0.002202643,388.4121946,0.21978022
SITIO GRANDE 1,30/11/1972,938.6567,28159.701,1.467666667,44.03,1.955833324,58.67499971,0.001563582,371.1249749,0.156114097
SITIO GRANDE 1,31/12/1972,963.9932258,29883.79,3.652258065,113.22,2.289677445,70.98000081,0.003788676,423.0536519,0.377437618
SITIO GRANDE 1,31/01/1973,942.0999677,29205.099,4.058064516,125.8,2.387870994,74.02400082,0.004307467,451.4493119,0.42889923
SITIO GRANDE 1,28/02/1973,964.1671429,26996.68,0,0,1.711035683,47.90899912,0,316.0835275,0
SITIO GRANDE 1,31/03/1973,962.9584194,29851.711,0,0,1.814354798,56.24499874,0,335.5906151,0
SITIO GRANDE 1,30/04/1973,950.1883667,28505.651,0,0,1.936999994,58.10999983,0,363.0906242,0
SITIO GRANDE 1,31/05/1973,920.5719355,28537.73,0,0,1.749548336,54.23599843,0,338.5036368,0
SITIO GRANDE 1,30/06/1973,954.4026667,28632.08,0,0,1.711366724,51.34100173,0,319.379152,0
SITIO GRANDE 1,31/07/1973,834.9670645,25883.979,0,0,1.850354831,57.36099976,0,394.712425,0
SITIO GRANDE 1,31/08/1973,903.3251613,28003.08,9.130645161,283.05,1.804806501,55.94900152,0.010107817,355.8620395,1.000667111
SITIO GRANDE 1,30/09/1973,882.2983,26468.949,4.004633333,120.14,1.788466719,53.65400158,0.004538866,361.0443431,0.451835731
SITIO GRANDE 1,31/10/1973,857.0632258,26568.96,2.637741935,81.77,1.539064522,47.71100019,0.003077652,319.8446496,0.306820864
SITIO GRANDE 1,30/11/1973,795.685,23870.55,1.258,37.74,1.234099972,37.02299917,0.001581028,276.251278,0.157853197
SITIO GRANDE 1,31/12/1973,876.3390323,27166.51,1.217419355,37.74,1.398516117,43.35399964,0.00138921,284.243436,0.138728324
SITIO GRANDE 1,31/01/1974,842.6773871,26122.999,1.602935484,49.69,1.459096776,45.23200007,0.001902194,308.4024945,0.189858207
SITIO GRANDE 1,28/02/1974,937.4121786,26247.541,1.774678571,49.69,1.58378572,44.34600015,0.001893168,300.9268614,0.188959051
SITIO GRANDE 1,31/03/1974,758.6754516,23518.939,0.608709677,18.87,1.254419382,38.88700086,0.000802332,294.4976599,0.080168889
SITIO GRANDE 1,30/04/1974,417.0060333,12510.181,0.4403,13.21,0.662300006,19.86900019,0.00105586,282.8834532,0.105474636
SITIO GRANDE 1,31/05/1974,515.5568065,15982.261,0.608709677,18.87,0.851999946,26.41199833,0.001180684,294.3460191,0.117929164
SITIO GRANDE 1,30/06/1974,562.1163333,16863.49,0,0,1.426633362,42.79900087,0,452.0446102,0
SITIO GRANDE 1,31/07/1974,559.4041935,17341.53,0,0,1.024774154,31.76799877,0,326.2853464,0
SITIO GRANDE 1,31/08/1974,582.7177742,18064.251,0,0,0.956225815,29.64300026,0,292.278805,0
SITIO GRANDE 1,30/09/1974,574.0883,17222.649,0,0,0.952899964,28.58699892,0,295.6403711,0
SITIO GRANDE 1,31/10/1974,573.8306129,17788.749,2.414548387,74.85,0.982516128,30.45799997,0.004207772,304.9657721,0.419014085
SITIO GRANDE 1,30/11/1974,563.1437,16894.311,8.177,245.31,0.949966725,28.49900175,0.014520273,300.4583566,1.431245183
SITIO GRANDE 1,31/12/1974,488.4083548,15140.659,6.492903226,201.28,0.831032242,25.76199949,0.013294005,303.0609032,1.311959329
SITIO GRANDE 1,31/01/1975,606.0922258,18788.859,7.710322581,239.02,0.987096787,30.60000038,0.012721369,290.078906,1.256156821
SITIO GRANDE 1,28/02/1975,560.4839286,15693.55,6.492178571,181.78,0.907607087,25.41299843,0.011583166,288.4229659,1.14505329
SITIO GRANDE 1,31/03/1975,370.5012903,11485.54,3.875451613,120.14,0.667354873,20.68800105,0.010460022,320.8205915,1.035174245
SITIO GRANDE 1,30/04/1975,158.508,4755.24,1.467666667,44.03,0.235033337,7.0510001,0.009259259,264.1030423,0.917431193
SITIO GRANDE 1,29/02/1976,245.0714138,7107.071,0,0,0.45027582,13.05799879,0,327.2510842,0
SITIO GRANDE 1,31/03/1976,68.78419355,2132.31,0,0,0.034516132,1.070000095,0,89.37758112,0
SITIO GRANDE 100,30/06/1974,604.6786667,18140.36,0,0,0.996933275,29.90799824,0,293.6544383,0
SITIO GRANDE 100,31/07/1974,4268.880968,132335.31,0,0,8.033806492,249.0480013,0,335.1987927,0
SITIO GRANDE 100,31/08/1974,6052.400323,187624.41,0,0,10.39629032,322.2849999,0,305.9467733,0
SITIO GRANDE 100,30/09/1974,5940.0873,178202.619,0,0,10.30509997,309.1529991,0,308.9971727,0
SITIO GRANDE 100,31/10/1974,4139.225806,128316,5.295774194,164.17,7.642903179,236.9299986,0.001279412,328.877652,0.127777696
