pozo,fecha,wor,gor,wc
SITIO GRANDE 1,30/06/1972,0,294.8294118,0
SITIO GRANDE 1,31/07/1972,0,337.8100821,0
SITIO GRANDE 1,31/08/1972,0,401.831971,0
SITIO GRANDE 1,30/09/1972,0.002360583,334.9702155,0.235502379
SITIO GRANDE 1,31/10/1972,0.002202643,388.4121946,0.21978022
SITIO GRANDE 1,30/11/1972,0.001563582,371.1249749,0.156114097
SITIO GRANDE 1,31/12/1972,0.003788676,423.0536519,0.377437618
SITIO GRANDE 1,31/01/1973,0.004307467,451.4493119,0.42889923
SITIO GRANDE 1,28/02/1973,0,316.0835275,0
SITIO GRANDE 1,31/03/1973,0,335.5906151,0
SITIO GRANDE 1,30/04/1973,0,363.0906242,0
SITIO GRANDE 1,31/05/1973,0,338.5036368,0
SITIO GRANDE 1,30/06/1973,0,319.379152,0
SITIO GRANDE 1,31/07/1973,0,394.712425,0
SITIO GRANDE 1,31/08/1973,0.010107817,355.8620395,1.000667111
SITIO GRANDE 1,30/09/1973,0.004538866,361.0443431,0.451835731
SITIO GRANDE 1,31/10/1973,0.003077652,319.8446496,0.306820864
SITIO GRANDE 1,30/11/1973,0.001581028,276.251278,0.157853197
SITIO GRANDE 1,31/12/1973,0.00138921,284.243436,0.138728324
SITIO GRANDE 1,31/01/1974,0.001902194,308.4024945,0.189858207
SITIO GRANDE 1,28/02/1974,0.001893168,300.9268614,0.188959051
SITIO GRANDE 1,31/03/1974,0.000802332,294.4976599,0.080168889
SITIO GRANDE 1,30/04/1974,0.00105586,282.8834532,0.105474636
SITIO GRANDE 1,31/05/1974,0.001180684,294.3460191,0.117929164
SITIO GRANDE 1,30/06/1974,0,452.0446102,0
SITIO GRANDE 1,31/07/1974,0,326.2853464,0
SITIO GRANDE 1,31/08/1974,0,292.278805,0
SITIO GRANDE 1,30/09/1974,0,295.6403711,0
SITIO GRANDE 1,31/10/1974,0.004207772,304.9657721,0.419014085
SITIO GRANDE 1,30/11/1974,0.014520273,300.4583566,1.431245183
SITIO GRANDE 1,31/12/1974,0.013294005,303.0609032,1.311959329
SITIO GRANDE 1,31/01/1975,0.012721369,290.078906,1.256156821
SITIO GRANDE 1,28/02/1975,0.011583166,288.4229659,1.145053291
SITIO GRANDE 1,31/03/1975,0.010460022,320.8205915,1.035174245
SITIO GRANDE 1,30/04/1975,0.009259259,264.1030423,0.917431193
SITIO GRANDE 1,29/02/1976,0,327.2510842,0
SITIO GRANDE 1,31/03/1976,0,89.37758112,0
SITIO GRANDE 100,30/06/1974,0,293.6544383,0
SITIO GRANDE 100,31/07/1974,0,335.1987927,0
SITIO GRANDE 100,31/08/1974,0,305.9467733,0
SITIO GRANDE 100,30/09/1974,0,308.9971727,0
SITIO GRANDE 100,31/10/1974,0.001279412,328.877652,0.127777696
SITIO GRANDE 100,30/11/1974,0,331.7279987,0
SITIO GRANDE 100,31/12/1974,0.011442086,335.1951994,1.131264615
SITIO GRANDE 100,31/01/1975,0.041362698,279.6739092,3.971978058
SITIO GRANDE 100,28/02/1975,0.041641471,261.0013165,3.997677948
SITIO GRANDE 100,31/03/1975,0.059130862,310.5869015,5.582960942
SITIO GRANDE 100,30/04/1975,0.0638619,272.6839543,6.002837383
SITIO GRANDE 100,31/05/1975,0.063858914,216.3416009,6.002573613
SITIO GRANDE 100,30/06/1975,0.078369384,215.6754061,7.267397007
SITIO GRANDE 100,31/07/1975,0.127085512,239.8295886,11.27558739
SITIO GRANDE 100,31/08/1975,0.038820137,222.244335,3.736944981
SITIO GRANDE 100,30/09/1975,0.027798729,166.9536041,2.704686026
SITIO GRANDE 100,31/10/1975,0.038224587,170.0436572,3.681726231
SITIO GRANDE 100,30/11/1975,0.047568523,182.8951017,4.540850777
SITIO GRANDE 100,31/12/1975,0.000204666,177.238027,0.020462451
SITIO GRANDE 100,31/01/1976,0.054467442,200.3033725,5.165398157
SITIO GRANDE 100,29/02/1976,0.098939319,189.8391048,9.003164868
SITIO GRANDE 100,31/03/1976,0.099029911,197.748464,9.010665686
SITIO GRANDE 100,30/04/1976,0.098682505,227.7455076,8.981894671
SITIO GRANDE 100,31/05/1976,0.098712446,118.9503168,8.984375
SITIO GRANDE 100,30/06/1976,0.098462524,119.9730942,8.963667114
SITIO GRANDE 100,31/07/1976,0.097643905,226.140799,8.895772522
SITIO GRANDE 100,31/08/1976,0.011769481,219.3519278,1.16325712
SITIO GRANDE 100,30/09/1976,0,217.4030741,0
SITIO GRANDE 100,31/10/1976,0.008065165,217.9290225,0.800063845
SITIO GRANDE 100,30/11/1976,0.010631645,229.3621013,1.051980198
SITIO GRANDE 100,31/12/1976,0.016241442,228.8527168,1.598187372
SITIO GRANDE 100,31/01/1977,0.009884812,239.2800226,0.978805857
SITIO GRANDE 100,28/02/1977,0.010051598,226.9127968,0.995156903
SITIO GRANDE 100,31/03/1977,0.011296928,236.8408344,1.117073268
SITIO GRANDE 100,30/04/1977,0.010402335,230.9027934,1.029524026
SITIO GRANDE 100,31/05/1977,0.026335694,204.4919664,2.565992228
SITIO GRANDE 100,30/06/1977,0.039280644,224.5310696,3.779599271
SITIO GRANDE 100,31/07/1977,0.031137993,266.5612455,3.019769715
SITIO GRANDE 100,31/08/1977,0.031137993,271.8706541,3.019769715
SITIO GRANDE 100,30/09/1977,0.032168186,270.8387538,3.116564417
SITIO GRANDE 100,31/10/1977,0.033134507,253.3959017,3.20718232
SITIO GRANDE 100,30/11/1977,0.047070213,228.0384491,4.495420923
SITIO GRANDE 100,31/12/1977,0,207.6758006,0
SITIO GRANDE 100,31/01/1978,0,213.6294176,0
SITIO GRANDE 100,28/02/1978,0,209.2007506,0
SITIO GRANDE 100,31/03/1978,0.009764565,218.9229684,0.967014075
SITIO GRANDE 100,30/04/1978,0.01736096,227.2601714,1.706470081
SITIO GRANDE 100,31/05/1978,0.017977151,226.2728915,1.765967982
SITIO GRANDE 100,30/06/1978,0.015176339,220.2177891,1.494946063
SITIO GRANDE 100,31/07/1978,0.012457718,214.4261447,1.230443286
SITIO GRANDE 100,31/08/1978,0.01272578,227.9573727,1.256586948
SITIO GRANDE 100,30/09/1978,0.006123984,227.6742506,0.608670863
SITIO GRANDE 100,31/10/1978,0.000162778,234.7929897,0.016275159
SITIO GRANDE 100,30/11/1978,0,248.8328521,0
SITIO GRANDE 100,31/12/1978,0,208.4569993,0
SITIO GRANDE 100,31/01/1979,0,182.1555814,0
SITIO GRANDE 100,28/02/1979,0,203.4175002,0
SITIO GRANDE 100,31/03/1979,0,208.6993139,0
SITIO GRANDE 100,30/04/1979,0,207.0264869,0
SITIO GRANDE 100,31/05/1979,0,285.1849533,0
SITIO GRANDE 100,30/06/1979,0,280.1468785,0
SITIO GRANDE 100,31/07/1979,0,274.9605334,0
SITIO GRANDE 100,31/08/1979,0,275.7007825,0
SITIO GRANDE 100,30/09/1979,0,242.4911769,0
SITIO GRANDE 100,31/10/1979,0,234.7548965,0
SITIO GRANDE 100,30/11/1979,0,233.6333699,0
SITIO GRANDE 100,31/12/1979,0,243.6307483,0
SITIO GRANDE 100,31/01/1980,0,236.7329637,0
SITIO GRANDE 100,29/02/1980,0,233.8357486,0
SITIO GRANDE 100,31/03/1980,0,229.1956826,0
SITIO GRANDE 100,30/04/1980,0,225.8477137,0
SITIO GRANDE 100,31/05/1980,0,237.6615881,0
SITIO GRANDE 100,30/06/1980,0,243.2205397,0
SITIO GRANDE 100,31/07/1980,0,239.1733521,0
SITIO GRANDE 100,31/08/1980,0,210.7132995,0
SITIO GRANDE 100,30/09/1980,0,192.8139464,0
SITIO GRANDE 100,31/10/1980,0,190.3473779,0
SITIO GRANDE 100,30/11/1980,0,196.4712851,0
SITIO GRANDE 100,31/12/1980,0,143.7862462,0
SITIO GRANDE 100,31/01/1981,0,137.8762314,0
SITIO GRANDE 100,28/02/1981,0,141.5333274,0
SITIO GRANDE 100,31/03/1981,0,132.5557515,0
SITIO GRANDE 100,30/04/1981,0,114.0559062,0
SITIO GRANDE 100,31/05/1981,0,120.9110028,0
SITIO GRANDE 100,30/06/1981,0.002047889,119.8855388,0.204370382
SITIO GRANDE 100,31/07/1981,0.015830558,125.9950871,1.558385727
SITIO GRANDE 100,31/08/1981,0.015943366,154.747073,1.569316399
SITIO GRANDE 100,30/09/1981,0.015290554,175.6179787,1.506027443
SITIO GRANDE 100,31/10/1981,0.044573129,191.0870106,4.26711423
SITIO GRANDE 100,30/11/1981,0.063283807,199.0429451,5.951732432
SITIO GRANDE 100,31/12/1981,0.063458488,184.2794553,5.967180507
SITIO GRANDE 100,31/01/1982,0.063504653,159.3539816,5.971262368
SITIO GRANDE 100,28/02/1982,0.08376124,130.4493434,7.728753978
SITIO GRANDE 100,31/03/1982,0.110872683,114.5347639,9.980683144
SITIO GRANDE 100,30/04/1982,0.110969793,128.9173132,9.988551803
SITIO GRANDE 100,31/05/1982,0.137069981,138.8184731,12.05466536
SITIO GRANDE 100,30/06/1982,0.186244441,146.223961,15.70034258
SITIO GRANDE 100,31/07/1982,0.178624702,138.443653,15.15535025
SITIO GRANDE 100,31/08/1982,0.210129906,159.2586305,17.3642437
SITIO GRANDE 100,30/09/1982,0.234731023,196.0835715,19.01070103
SITIO GRANDE 100,31/10/1982,0.263996731,270.7108841,20.88587132
SITIO GRANDE 100,30/11/1982,0.417758897,247.1466563,29.46614533
SITIO GRANDE 100,31/12/1982,0.418357598,234.2778796,29.49591828
SITIO GRANDE 100,31/01/1983,0.419853012,220.1121243,29.57017441
SITIO GRANDE 100,28/02/1983,0.430661952,215.2740228,30.10228599
SITIO GRANDE 100,31/03/1983,0.422892733,225.8004519,29.7206334
SITIO GRANDE 100,30/04/1983,0.428726778,258.1359764,30.00761132
SITIO GRANDE 100,31/05/1983,0.428593779,248.899273,30.00109514
SITIO GRANDE 100,30/06/1983,0.414961749,231.1395191,29.32671141
