pozo,fecha,tipo de registro,estrangulador (pg),nivel medio de los disparos (mbmr),gradiente pozo (kg/cm2/m),gradiente yacimiento (kg/cm2/m),presion superficie (kg/cm2),de fondo cerrado gradiente de yacimiento (kg/cm2),de fondo cerrado gradiente de pozo (kg/cm2)
SITIO GRANDE 1,1972-03-14,CERRADO,N/A,4125.0,0.0987,0.056,0.82,376.47,446.43
SITIO GRANDE 1,1972-03-18,CERRADO,N/A,4125.0,0.0987,0.056,0.0,372.13,445.83
SITIO GRANDE 1,1972-02-05,CERRADO,N/A,4134.0,0.0987,0.056,0.0,366.0,450.68
SITIO GRANDE 1,1972-05-28,CERRADO,N/A,4134.0,0.0987,0.056,0.0,361.4,441.78
SITIO GRANDE 1,1972-06-13,CERRADO,N/A,4134.0,0.0987,0.056,0.0,348.4,439.88
SITIO GRANDE 1,1972-11-23,CERRADO,N/A,4134.0,0.0987,0.056,0.0,350.93,332.88
SITIO GRANDE 1,1974-10-04,CERRADO,N/A,4134.0,0.1033,0.056,0.0,333.93,382.39
SITIO GRANDE 1,1975-05-04,CERRADO,N/A,4134.0,0.1034,0.056,0.0,351.21,332.15
SITIO GRANDE 1,1975-01-08,CERRADO,N/A,4134.0,0.1036,0.056,0.0,349.83,352.47
SITIO GRANDE 1,1976-07-24,CERRADO,N/A,4134.0,0.113,0.056,0.0,349.39,447.77
SITIO GRANDE 1,1984-12-07,CERRADO,N/A,4134.0,0.1056,0.056,0.0,344.88,401.94
SITIO GRANDE 1,1984-08-14,CERRADO,N/A,4134.0,0.1044,0.056,0.0,350.85,382.45
SITIO GRANDE 1,1985-08-03,CERRADO,N/A,4134.0,0.067,0.056,0.0,345.48,369.25
SITIO GRANDE 1,1985-11-07,CERRADO,N/A,4134.0,0.063,0.056,0.0,344.46,361.86
SITIO GRANDE 1,1993-10-18,CERRADO,N/A,4134.0,0.071,0.056,0.0,346.91,406.45
SITIO GRANDE 1,1993-12-21,CERRADO,N/A,4134.0,0.1087,0.056,0.0,345.21,387.02
SITIO GRANDE 1,1994-01-27,CERRADO,N/A,4134.0,0.1008,0.056,0.0,347.13,369.47
SITIO GRANDE 1,1994-08-03,CERRADO,N/A,4134.0,0.1055,0.056,0.0,346.05,0.0
SITIO GRANDE 1,1997-03-21,CERRADO,N/A,4134.0,0.1049,0.056,0.0,345.74,373.5
SITIO GRANDE 1,1997-03-06,CERRADO,N/A,4134.0,0.0952,0.056,0.0,341.8,367.49
SITIO GRANDE 1,1997-10-16,CERRADO,N/A,4134.0,0.0952,0.056,0.0,347.62,362.19
SITIO GRANDE 1,1997-12-24,CERRADO,N/A,4134.0,0.0957,0.056,0.0,373.96,357.59
SITIO GRANDE 1,1998-01-16,CERRADO,N/A,4134.0,0.0544,0.056,0.0,410.73,361.29
SITIO GRANDE 1,1998-05-05,CERRADO,N/A,4134.0,0.0459,0.056,1.04,414.32,332.02
SITIO GRANDE 1,1998-09-15,CERRADO,N/A,4134.0,0.0483,0.056,0.0,405.56,361.57
SITIO GRANDE 1,1998-05-12,CERRADO,N/A,4134.0,0.1021,0.056,0.26,405.73,359.96
SITIO GRANDE 1,1999-01-03,CERRADO,N/A,4134.0,0.103,0.056,6.31,403.06,359.03
SITIO GRANDE 1,1999-11-19,CERRADO,N/A,4134.0,0.097,0.056,0.0,397.35,354.77
SITIO GRANDE 1,2000-03-03,CERRADO,N/A,4134.0,0.1,0.056,0.0,363.25,361.14
SITIO GRANDE 1,2000-03-07,CERRADO,N/A,4134.0,0.069,0.056,0.0,459.2,355.04
SITIO GRANDE 1,2001-05-03,CERRADO,N/A,4134.0,0.0602,0.056,0.0,293.98,354.24
SITIO GRANDE 1,2001-09-11,CERRADO,N/A,4134.0,0.0572,0.056,0.0,445.04,353.43
SITIO GRANDE 1,2002-09-06,CERRADO,N/A,4134.0,0.0858,0.056,0.0,452.34,354.08
SITIO GRANDE 1,2002-01-10,CERRADO,N/A,4134.0,0.097,0.056,0.0,454.52,354.6
SITIO GRANDE 1,2002-11-29,CERRADO,N/A,4134.0,0.0961,0.056,0.0,423.22,355.89
SITIO GRANDE 1,2003-02-13,CERRADO,N/A,4134.0,0.0994,0.056,0.0,413.52,356.87
SITIO GRANDE 1,2003-08-06,CERRADO,N/A,4134.0,0.0959,0.056,0.0,330.24,354.87
SITIO GRANDE 1,2003-10-21,CERRADO,N/A,4134.0,0.096,0.056,0.0,301.5,361.29
SITIO GRANDE 1,2004-07-05,CERRADO,N/A,4134.0,0.0974,0.056,0.0,324.58,384.17
SITIO GRANDE 1,2005-07-03,CERRADO,N/A,4134.0,0.097,0.056,0.0,323.53,414.14
SITIO GRANDE 1,2005-12-08,CERRADO,N/A,4134.0,0.0955,0.056,0.0,336.34,415.99
SITIO GRANDE 1,2007-11-05,CERRADO,N/A,4133.5,0.0936,0.056,0.0,322.56,414.69
SITIO GRANDE 1,2007-02-06,CERRADO,N/A,4133.5,0.0992,0.056,0.0,321.18,415.29
SITIO GRANDE 1,2007-09-08,CERRADO,N/A,4133.5,0.0993,0.056,0.0,311.78,412.64
SITIO GRANDE 2,1973-12-03,CERRADO,N/A,4212.5,0.0932,0.056,0.0,318.38,393.0
SITIO GRANDE 2,1973-03-26,CERRADO,N/A,4212.5,0.0942,0.056,0.0,317.68,361.41
SITIO GRANDE 4,1973-03-15,CERRADO,N/A,4692.5,0.0982,0.056,0.0,313.58,430.2
SITIO GRANDE 4,1973-05-04,CERRADO,N/A,4692.5,0.0967,0.056,0.0,332.23,260.32
SITIO GRANDE 4,1973-05-06,CERRADO,N/A,4537.0,0.1003,0.056,0.0,331.03,422.1
SITIO GRANDE 4,1973-06-06,CERRADO,N/A,4537.0,0.1016,0.056,0.0,330.23,429.4
SITIO GRANDE 4,1973-06-16,CERRADO,N/A,4434.0,0.0925,0.056,0.0,305.76,438.02
SITIO GRANDE 5,1973-11-18,CERRADO,N/A,3974.0,0.0934,0.056,0.0,304.12,421.81
SITIO GRANDE 5,1974-10-02,CERRADO,N/A,3974.0,0.105,0.056,0.0,306.22,412.11
SITIO GRANDE 5,1979-02-22,CERRADO,N/A,3974.0,0.1073,0.056,0.0,309.92,335.22
