pozo,fecha,wor,gor,wc
SITIO GRANDE 1,30-06-72,0,294.8294118,0
SITIO GRANDE 1,31-07-72,0,337.8100821,0
SITIO GRANDE 1,31-08-72,0,401.831971,0
SITIO GRANDE 1,30-09-72,0.002360583,334.9702155,0.002355024
SITIO GRANDE 1,31-10-72,0.002202643,388.4121946,0.002197802
SITIO GRANDE 1,30-11-72,0.001563582,371.1249749,0.001561141
SITIO GRANDE 1,31-12-72,0.003788676,423.0536519,0.003774376
SITIO GRANDE 1,31-01-73,0.004307467,451.4493119,0.004288992
SITIO GRANDE 1,28-02-73,0,316.0835275,0
SITIO GRANDE 1,31-03-73,0,335.5906151,0
SITIO GRANDE 1,30-04-73,0,363.0906242,0
SITIO GRANDE 1,31-05-73,0,338.5036368,0
SITIO GRANDE 1,30-06-73,0,319.379152,0
SITIO GRANDE 1,31-07-73,0,394.712425,0
SITIO GRANDE 1,31-08-73,0.010107817,355.8620395,0.010006671
SITIO GRANDE 1,30-09-73,0.004538866,361.0443431,0.004518357
SITIO GRANDE 1,31-10-73,0.003077652,319.8446496,0.003068209
SITIO GRANDE 1,30-11-73,0.001581028,276.251278,0.001578532
SITIO GRANDE 1,31-12-73,0.00138921,284.243436,0.001387283
SITIO GRANDE 1,31-01-74,0.001902194,308.4024945,0.001898582
SITIO GRANDE 1,28-02-74,0.001893168,300.9268614,0.001889591
SITIO GRANDE 1,31-03-74,0.000802332,294.4976599,0.000801689
SITIO GRANDE 1,30-04-74,0.00105586,282.8834532,0.001054746
SITIO GRANDE 1,31-05-74,0.001180684,294.3460191,0.001179292
SITIO GRANDE 1,30-06-74,0,452.0446102,0
SITIO GRANDE 1,31-07-74,0,326.2853464,0
SITIO GRANDE 1,31-08-74,0,292.278805,0
SITIO GRANDE 1,30-09-74,0,295.6403711,0
SITIO GRANDE 1,31-10-74,0.004207772,304.9657721,0.004190141
SITIO GRANDE 1,30-11-74,0.014520273,300.4583566,0.014312452
SITIO GRANDE 1,31-12-74,0.013294005,303.0609032,0.013119593
SITIO GRANDE 1,31-01-75,0.012721369,290.078906,0.012561568
SITIO GRANDE 1,28-02-75,0.011583166,288.4229659,0.011450533
SITIO GRANDE 1,31-03-75,0.010460022,320.8205915,0.010351742
SITIO GRANDE 1,30-04-75,0.009259259,264.1030423,0.009174312
SITIO GRANDE 1,29-02-76,0,327.2510842,0
SITIO GRANDE 1,31-03-76,0,89.37758112,0
SITIO GRANDE 100,30-06-74,0,293.6544383,0
SITIO GRANDE 100,31-07-74,0,335.1987927,0
SITIO GRANDE 100,31-08-74,0,305.9467733,0
SITIO GRANDE 100,30-09-74,0,308.9971727,0
SITIO GRANDE 100,31-10-74,0.001279412,328.877652,0.001277777
SITIO GRANDE 100,30-11-74,0,331.7279987,0
SITIO GRANDE 100,31-12-74,0.011442086,335.1951994,0.011312646
SITIO GRANDE 100,31-01-75,0.041362698,279.6739092,0.039719781
SITIO GRANDE 100,28-02-75,0.041641471,261.0013165,0.039976779
SITIO GRANDE 100,31-03-75,0.059130862,310.5869015,0.055829609
SITIO GRANDE 100,30-04-75,0.0638619,272.6839543,0.060028374
SITIO GRANDE 100,31-05-75,0.063858914,216.3416009,0.060025736
SITIO GRANDE 100,30-06-75,0.078369384,215.6754061,0.07267397
SITIO GRANDE 100,31-07-75,0.127085512,239.8295886,0.112755874
SITIO GRANDE 100,31-08-75,0.038820137,222.244335,0.03736945
SITIO GRANDE 100,30-09-75,0.027798729,166.9536041,0.02704686
SITIO GRANDE 100,31-10-75,0.038224587,170.0436572,0.036817262
SITIO GRANDE 100,30-11-75,0.047568523,182.8951017,0.045408508
SITIO GRANDE 100,31-12-75,0.000204666,177.238027,0.000204625
SITIO GRANDE 100,31-01-76,0.054467442,200.3033725,0.051653982
SITIO GRANDE 100,29-02-76,0.098939319,189.8391048,0.090031649
SITIO GRANDE 100,31-03-76,0.099029911,197.748464,0.090106657
SITIO GRANDE 100,30-04-76,0.098682505,227.7455076,0.089818947
SITIO GRANDE 100,31-05-76,0.098712446,118.9503168,0.08984375
SITIO GRANDE 100,30-06-76,0.098462524,119.9730942,0.089636671
SITIO GRANDE 100,31-07-76,0.097643905,226.140799,0.088957725
SITIO GRANDE 100,31-08-76,0.011769481,219.3519278,0.011632571
SITIO GRANDE 100,30-09-76,0,217.4030741,0
SITIO GRANDE 100,31-10-76,0.008065165,217.9290225,0.008000638
SITIO GRANDE 100,30-11-76,0.010631645,229.3621013,0.010519802
SITIO GRANDE 100,31-12-76,0.016241442,228.8527168,0.015981874
SITIO GRANDE 100,31-01-77,0.009884812,239.2800226,0.009788059
SITIO GRANDE 100,28-02-77,0.010051598,226.9127968,0.009951569
SITIO GRANDE 100,31-03-77,0.011296928,236.8408344,0.011170733
SITIO GRANDE 100,30-04-77,0.010402335,230.9027934,0.01029524
SITIO GRANDE 100,31-05-77,0.026335694,204.4919664,0.025659922
SITIO GRANDE 100,30-06-77,0.039280644,224.5310696,0.037795993
SITIO GRANDE 100,31-07-77,0.031137993,266.5612455,0.030197697
SITIO GRANDE 100,31-08-77,0.031137993,271.8706541,0.030197697
SITIO GRANDE 100,30-09-77,0.032168186,270.8387538,0.031165644
SITIO GRANDE 100,31-10-77,0.033134507,253.3959017,0.032071823
SITIO GRANDE 100,30-11-77,0.047070213,228.0384491,0.044954209
