pozo,fecha,tipo de registro,estrangulador (pg),nivel medio de los disparos (mbmr),gradiente pozo (kg/cm2/m),gradiente yacimiento (kg/cm2/m),presion superficie (kg/cm2),de fondo cerrado gradiente de yacimiento (kg/cm2),de fondo cerrado gradiente de pozo (kg/cm2)
SITIO GRANDE 1,14-03-72,CERRADO,N/A,4125,0.0987,0.056,0.82,449.6,449.6
SITIO GRANDE 1,18-03-72,CERRADO,N/A,4125,0.0987,0.056,0,449,449
SITIO GRANDE 1,05-02-72,CERRADO,N/A,4134,0.0987,0.056,0,455.7,456.1
SITIO GRANDE 1,28-05-72,CERRADO,N/A,4134,0.0987,0.056,0,446.72,447.2
SITIO GRANDE 1,13-06-72,CERRADO,N/A,4134,0.0987,0.056,0,442.92,442.92
SITIO GRANDE 1,23-11-72,CERRADO,N/A,4134,0.0987,0.056,0,336,336.02
SITIO GRANDE 1,04-10-74,CERRADO,N/A,4134,0.1033,0.056,0,385.4,385.37
SITIO GRANDE 1,04-05-75,CERRADO,N/A,4134,0.1034,0.056,0,335.1,334.97
SITIO GRANDE 1,08-01-75,CERRADO,N/A,4134,0.1036,0.056,0,355.6,355.77
SITIO GRANDE 1,24-07-76,CERRADO,N/A,4134,0.113,0.056,0,408.7,453.74
SITIO GRANDE 1,07-12-84,CERRADO,N/A,4134,0.1056,0.056,0,393.5,407.2
SITIO GRANDE 1,14-08-84,CERRADO,N/A,4134,0.1044,0.056,0,385.86,387.49
SITIO GRANDE 1,03-08-85,CERRADO,N/A,4134,0.067,0.056,0,371.88,374.51
SITIO GRANDE 1,07-11-85,CERRADO,N/A,4134,0.063,0.056,0,363.7,367.06
SITIO GRANDE 1,18-10-93,CERRADO,N/A,4134,0.071,0.056,0,398.25,412.26
SITIO GRANDE 1,21-12-93,CERRADO,N/A,4134,0.1087,0.056,0,389.02,392.91
SITIO GRANDE 1,27-01-94,CERRADO,N/A,4134,0.1008,0.056,0,371.64,374.89
SITIO GRANDE 1,03-08-94,CERRADO,N/A,4134,0.1055,0.056,0,379.5,383.4
SITIO GRANDE 1,21-03-97,CERRADO,N/A,4134,0.1049,0.056,0,375.16,379.05
SITIO GRANDE 1,06-03-97,CERRADO,N/A,4134,0.0952,0.056,0,369.03,373.24
SITIO GRANDE 1,16-10-97,CERRADO,N/A,4134,0.0952,0.056,0,364.43,367.39
SITIO GRANDE 1,24-12-97,CERRADO,N/A,4134,0.0957,0.056,0,351.43,362.79
SITIO GRANDE 1,16-01-98,CERRADO,N/A,4134,0.0544,0.056,0,353.96,366.77
SITIO GRANDE 1,05-05-98,CERRADO,N/A,4134,0.0459,0.056,1.04,336.97,337
SITIO GRANDE 1,15-09-98,CERRADO,N/A,4134,0.0483,0.056,0,354.24,367.05
SITIO GRANDE 1,12-05-98,CERRADO,N/A,4134,0.1021,0.056,0.26,352.86,365.45
SITIO GRANDE 1,03-01-99,CERRADO,N/A,4134,0.103,0.056,6.31,352.42,364.39
SITIO GRANDE 1,19-11-99,CERRADO,N/A,4134,0.097,0.056,0,347.91,360.19
SITIO GRANDE 1,03-03-00,CERRADO,N/A,4134,0.1,0.056,0,353.88,366.66
SITIO GRANDE 1,07-03-00,CERRADO,N/A,4134,0.069,0.056,0,348.51,360.43
SITIO GRANDE 1,03-05-01,CERRADO,N/A,4134,0.0602,0.056,0,347.49,359.59
SITIO GRANDE 1,11-09-01,CERRADO,N/A,4134,0.0572,0.056,0,349.94,358.08
SITIO GRANDE 1,06-09-02,CERRADO,N/A,4134,0.0858,0.056,0,348.24,359.31
SITIO GRANDE 1,10-01-02,CERRADO,N/A,4134,0.097,0.056,0,350.16,359.48
SITIO GRANDE 1,29-11-02,CERRADO,N/A,4134,0.0961,0.056,0,349.08,361.36
SITIO GRANDE 1,13-02-03,CERRADO,N/A,4134,0.0994,0.056,0,348.77,362.23
SITIO GRANDE 1,06-08-03,CERRADO,N/A,4134,0.0959,0.056,0,344.83,360.67
SITIO GRANDE 1,21-10-03,CERRADO,N/A,4134,0.096,0.056,0,350.65,367.23
SITIO GRANDE 1,05-07-04,CERRADO,N/A,4134,0.0974,0.056,0,376.99,389.43
SITIO GRANDE 1,03-07-05,CERRADO,N/A,4134,0.097,0.056,0,413.76,418.98
SITIO GRANDE 1,08-12-05,CERRADO,N/A,4134,0.0955,0.056,0,417.35,421.14
SITIO GRANDE 1,05-11-07,CERRADO,N/A,4133.5,0.0936,0.056,0,408.57,419.86
SITIO GRANDE 1,06-02-07,CERRADO,N/A,4133.5,0.0992,0.056,0,408.74,420.45
SITIO GRANDE 1,08-09-07,CERRADO,N/A,4133.5,0.0993,0.056,0,406.07,417.8
SITIO GRANDE 2,03-12-73,CERRADO,N/A,4212.5,0.0932,0.056,0,404.32,405.86
SITIO GRANDE 2,26-03-73,CERRADO,N/A,4212.5,0.0942,0.056,0,370.22,370.87
SITIO GRANDE 4,15-03-73,CERRADO,N/A,4692.5,0.0982,0.056,0,493.5,500.03
SITIO GRANDE 4,04-05-73,CERRADO,N/A,4692.5,0.0967,0.056,0,328.28,336.27
SITIO GRANDE 4,06-05-73,CERRADO,N/A,4537,0.1003,0.056,0,470.63,481.51
SITIO GRANDE 4,06-06-73,CERRADO,N/A,4537,0.1016,0.056,0,477.93,488.81
SITIO GRANDE 4,16-06-73,CERRADO,N/A,4434,0.0925,0.056,0,474.34,475.54
SITIO GRANDE 5,18-11-73,CERRADO,N/A,3974,0.0934,0.056,0,417.28,416.1
SITIO GRANDE 5,02-10-74,CERRADO,N/A,3974,0.105,0.056,0,407.58,406.4
SITIO GRANDE 5,22-02-79,CERRADO,N/A,3974,0.1073,0.056,0,324.3,324.3
SITIO GRANDE 5,16-05-79,CERRADO,N/A,3974,0.0954,0.056,0,295.56,322.29
SITIO GRANDE 5,16-02-82,CERRADO,N/A,3974,0.1003,0.056,0,318.64,320.67
SITIO GRANDE 5,10-04-82,CERRADO,N/A,3941.5,0.0952,0.056,0,315.77,315.76
SITIO GRANDE 5,25-10-82,CERRADO,N/A,3941.5,0.0959,0.056,0,328.58,328.64
SITIO GRANDE 5,07-04-83,CERRADO,N/A,3941.5,0.0951,0.056,0,314.8,337.23
SITIO GRANDE 5,31-08-83,CERRADO,N/A,3941.5,0.0984,0.056,0,313.42,334.54
SITIO GRANDE 5,12-08-83,CERRADO,N/A,3941.5,0.0974,0.056,0,304.02,324.06
SITIO GRANDE 5,03-09-84,CERRADO,N/A,3941.5,0.0966,0.056,0,310.62,332.83
SITIO GRANDE 5,28-04-84,CERRADO,N/A,3941.5,0.1061,0.056,0,309.92,332.13
SITIO GRANDE 5,08-06-84,CERRADO,N/A,3941.5,0.0938,0.056,0,305.82,328.57
SITIO GRANDE 5,11-04-84,CERRADO,N/A,3941.5,0.0942,0.056,0,324.47,324.45
SITIO GRANDE 5,15-01-85,CERRADO,N/A,3941.5,0.0972,0.056,0,323.27,323.25
SITIO GRANDE 5,03-07-85,CERRADO,N/A,3941.5,0.0944,0.056,0,322.47,322.45
SITIO GRANDE 5,05-02-85,CERRADO,N/A,3941.5,0.0944,0.056,0,298,319.39
SITIO GRANDE 5,07-12-85,CERRADO,N/A,3941.5,0.0964,0.056,0,296.36,317.74
SITIO GRANDE 5,26-07-85,CERRADO,N/A,3941.5,0.1003,0.056,0,298.46,320.6
SITIO GRANDE 5,25-08-85,CERRADO,N/A,3941.5,0.0923,0.056,0,302.16,324.3
SITIO GRANDE 5,17-09-85,CERRADO,N/A,3941.5,0.0977,0.056,0,301.06,324.11
SITIO GRANDE 5,11-11-85,CERRADO,N/A,3941.5,0.0961,0.056,0,297.96,318.73
SITIO GRANDE 5,24-01-86,CERRADO,N/A,3941.5,0.0991,0.056,0,318.03,318.05
SITIO GRANDE 5,27-03-86,CERRADO,N/A,3941.5,0.098,0.056,0,293.36,312.61
SITIO GRANDE 5,21-05-86,CERRADO,N/A,3941.5,0.0961,0.056,0,291.92,312.28
SITIO GRANDE 5,07-12-86,CERRADO,N/A,3941.5,0.0932,0.056,0,296.58,323.46
SITIO GRANDE 5,09-02-86,CERRADO,N/A,3941.5,0.095,0.056,0,293.58,313.59
SITIO GRANDE 5,13-11-86,CERRADO,N/A,3941.5,0.0942,0.056,0,293.18,312.19
SITIO GRANDE 5,17-01-87,CERRADO,N/A,3941.5,0.0938,0.056,0,311.43,311.44
SITIO GRANDE 5,29-03-87,CERRADO,N/A,3941.5,0.0896,0.056,0,313.93,313.95
SITIO GRANDE 5,24-05-87,CERRADO,N/A,3941.5,0.0975,0.056,0,315.53,315.55
SITIO GRANDE 5,07-08-87,CERRADO,N/A,3941.5,0.0942,0.056,0,293.7,315.45
SITIO GRANDE 5,09-11-87,CERRADO,N/A,3941.5,0.0967,0.056,0,294.8,317.59
SITIO GRANDE 5,11-07-87,CERRADO,N/A,3941.5,0.0984,0.056,0,295.6,318.39
SITIO GRANDE 5,01-04-88,CERRADO,N/A,3941.5,0.0987,0.056,45.7,296.24,316.35
SITIO GRANDE 5,03-09-88,CERRADO,N/A,3941.5,0.0987,0.056,0,296.4,315.18
SITIO GRANDE 5,26-05-88,CERRADO,N/A,3941.5,0.1135,0.056,106.5,296.2,318.63
SITIO GRANDE 5,07-08-88,CERRADO,N/A,3941.5,0.0943,0.056,102,301.64,323.13
SITIO GRANDE 5,09-03-88,CERRADO,N/A,3941.5,0.0943,0.056,36.86,302.8,324.45
SITIO GRANDE 5,11-05-88,CERRADO,N/A,3620,0.0943,0.056,83.77,478.16,477.35
SITIO GRANDE 5,19-11-88,CERRADO,N/A,3620,0.0943,0.056,2.87,267.56,277.87
SITIO GRANDE 5,24-11-88,CERRADO,N/A,3620,0.0943,0.056,12.24,233.22,246.75
SITIO GRANDE 6,23-11-73,CERRADO,N/A,3915,0.0943,0.056,31.7,369.94,393.3
SITIO GRANDE 6,18-04-74,CERRADO,N/A,3915,0.0943,0.056,4.65,400.24,401.08
SITIO GRANDE 6,29-10-74,CERRADO,N/A,3998.5,0.0943,0.056,58.83,356.06,351.35
SITIO GRANDE 6,15-12-74,CERRADO,N/A,3998.5,0.0943,0.056,62.79,326.56,327.18
SITIO GRANDE 6,15-03-75,CERRADO,N/A,3998.5,0.0943,0.056,0,336.12,336.12
SITIO GRANDE 6,04-04-75,CERRADO,N/A,3998.5,0.0943,0.056,0,335.42,335.42
SITIO GRANDE 6,19-08-75,CERRADO,N/A,3998.5,0.0943,0.056,0,334.52,334.51
SITIO GRANDE 6,26-11-75,CERRADO,N/A,3998.5,0.0943,0.056,0,331.32,331.31
SITIO GRANDE 6D,12-02-79,CERRADO,N/A,3896,0.0943,0.056,0,328.76,321.31
SITIO GRANDE 6D,12-10-79,CERRADO,N/A,3896,0.0943,0.056,0,284.18,300.02
SITIO GRANDE 6D,30-11-82,CERRADO,N/A,3896,0.0943,0.056,0,276.28,278.73
SITIO GRANDE 6D,07-12-83,CERRADO,N/A,3896,0.0943,0.056,0,286.94,286.95
SITIO GRANDE 6D,03-02-85,CERRADO,N/A,3916,0.1263,0.056,0,280.84,283.12
SITIO GRANDE 6D,30-03-03,CERRADO,N/A,3916,0.1088,0.056,0,311.89,311.72
SITIO GRANDE 6D,08-06-03,CERRADO,N/A,3916,0.0955,0.056,0,303.68,322.06
SITIO GRANDE 6D,20-03-04,CERRADO,N/A,3916,0.0976,0.056,0,305.12,320.74
SITIO GRANDE 6D,07-01-04,CERRADO,N/A,3916,0.06,0.056,0,307.41,324.81
SITIO GRANDE 6D,03-08-06,CERRADO,"1/8""",3916,0.0617,0.056,0,316.22,333.24
SITIO GRANDE 6D,05-01-06,CERRADO,"1/8""",3916,0.0715,0.056,0,247.72,248.68
SITIO GRANDE 6D,05-12-08,CERRADO,"1/8""",3880,0.0945,0.056,0,339.75,339.79
SITIO GRANDE 6D,02-12-09,CERRADO,N/A,3871.5,0.0963,0.056,0,336.09,335.75
SITIO GRANDE 7,31-12-74,CERRADO,N/A,4034.5,0.1051,0.056,0,270.19,271.63
SITIO GRANDE 7,04-05-75,CERRADO,N/A,4034.5,0.1025,0.056,0,318.79,319.39
SITIO GRANDE 7,30-06-75,CERRADO,N/A,4034.5,0.094,0.056,0,332.29,337.55
SITIO GRANDE 7,30-08-75,CERRADO,N/A,4034.5,0.0942,0.056,0,336.59,342.69
SITIO GRANDE 7,10-01-75,CERRADO,N/A,4034.5,0.098,0.056,0,338.69,343.95
