pozo,fecha,tipo de registro,estrangulador (pg),nivel medio de los disparos (mbmr),gradiente pozo (kg/cm2/m),gradiente yacimiento (kg/cm2/m),presion superficie (kg/cm2),de fondo cerrado gradiente de yacimiento (kg/cm2),de fondo cerrado gradiente de pozo (kg/cm2)
SITIO GRANDE 1,14-03-72,CERRADO,N/A,4125,0.0987,0.056,0.82,376.47,446.43
SITIO GRANDE 1,18-03-72,CERRADO,N/A,4125,0.0987,0.056,0,372.13,445.83
SITIO GRANDE 1,05-02-72,CERRADO,N/A,4134,0.0987,0.056,0,366,450.68
SITIO GRANDE 1,28-05-72,CERRADO,N/A,4134,0.0987,0.056,0,361.4,441.78
SITIO GRANDE 1,13-06-72,CERRADO,N/A,4134,0.0987,0.056,0,348.4,439.88
SITIO GRANDE 1,23-11-72,CERRADO,N/A,4134,0.0987,0.056,0,350.93,332.88
SITIO GRANDE 1,04-10-74,CERRADO,N/A,4134,0.1033,0.056,0,333.93,382.39
SITIO GRANDE 1,04-05-75,CERRADO,N/A,4134,0.1034,0.056,0,351.21,332.15
SITIO GRANDE 1,08-01-75,CERRADO,N/A,4134,0.1036,0.056,0,349.83,352.47
SITIO GRANDE 1,24-07-76,CERRADO,N/A,4134,0.113,0.056,0,349.39,447.77
SITIO GRANDE 1,07-12-84,CERRADO,N/A,4134,0.1056,0.056,0,344.88,401.94
SITIO GRANDE 1,14-08-84,CERRADO,N/A,4134,0.1044,0.056,0,350.85,382.45
SITIO GRANDE 1,03-08-85,CERRADO,N/A,4134,0.067,0.056,0,345.48,369.25
SITIO GRANDE 1,07-11-85,CERRADO,N/A,4134,0.063,0.056,0,344.46,361.86
SITIO GRANDE 1,18-10-93,CERRADO,N/A,4134,0.071,0.056,0,346.91,406.45
SITIO GRANDE 1,21-12-93,CERRADO,N/A,4134,0.1087,0.056,0,345.21,387.02
SITIO GRANDE 1,27-01-94,CERRADO,N/A,4134,0.1008,0.056,0,347.13,369.47
SITIO GRANDE 1,03-08-94,CERRADO,N/A,4134,0.1055,0.056,0,346.05,0
SITIO GRANDE 1,21-03-97,CERRADO,N/A,4134,0.1049,0.056,0,345.74,373.5
SITIO GRANDE 1,06-03-97,CERRADO,N/A,4134,0.0952,0.056,0,341.8,367.49
SITIO GRANDE 1,16-10-97,CERRADO,N/A,4134,0.0952,0.056,0,347.62,362.19
SITIO GRANDE 1,24-12-97,CERRADO,N/A,4134,0.0957,0.056,0,373.96,357.59
SITIO GRANDE 1,16-01-98,CERRADO,N/A,4134,0.0544,0.056,0,410.73,361.29
SITIO GRANDE 1,05-05-98,CERRADO,N/A,4134,0.0459,0.056,1.04,414.32,332.02
SITIO GRANDE 1,15-09-98,CERRADO,N/A,4134,0.0483,0.056,0,405.56,361.57
SITIO GRANDE 1,12-05-98,CERRADO,N/A,4134,0.1021,0.056,0.26,405.73,359.96
SITIO GRANDE 1,03-01-99,CERRADO,N/A,4134,0.103,0.056,6.31,403.06,359.03
SITIO GRANDE 1,19-11-99,CERRADO,N/A,4134,0.097,0.056,0,397.35,354.77
SITIO GRANDE 1,03-03-00,CERRADO,N/A,4134,0.1,0.056,0,363.25,361.14
SITIO GRANDE 1,07-03-00,CERRADO,N/A,4134,0.069,0.056,0,459.2,355.04
SITIO GRANDE 1,03-05-01,CERRADO,N/A,4134,0.0602,0.056,0,293.98,354.24
SITIO GRANDE 1,11-09-01,CERRADO,N/A,4134,0.0572,0.056,0,445.04,353.43
SITIO GRANDE 1,06-09-02,CERRADO,N/A,4134,0.0858,0.056,0,452.34,354.08
SITIO GRANDE 1,10-01-02,CERRADO,N/A,4134,0.097,0.056,0,454.52,354.6
SITIO GRANDE 1,29-11-02,CERRADO,N/A,4134,0.0961,0.056,0,423.22,355.89
SITIO GRANDE 1,13-02-03,CERRADO,N/A,4134,0.0994,0.056,0,413.52,356.87
SITIO GRANDE 1,06-08-03,CERRADO,N/A,4134,0.0959,0.056,0,330.24,354.87
SITIO GRANDE 1,21-10-03,CERRADO,N/A,4134,0.096,0.056,0,301.5,361.29
SITIO GRANDE 1,05-07-04,CERRADO,N/A,4134,0.0974,0.056,0,324.58,384.17
SITIO GRANDE 1,03-07-05,CERRADO,N/A,4134,0.097,0.056,0,323.53,414.14
SITIO GRANDE 1,08-12-05,CERRADO,N/A,4134,0.0955,0.056,0,336.34,415.99
SITIO GRANDE 1,05-11-07,CERRADO,N/A,4133.5,0.0936,0.056,0,322.56,414.69
SITIO GRANDE 1,06-02-07,CERRADO,N/A,4133.5,0.0992,0.056,0,321.18,415.29
SITIO GRANDE 1,08-09-07,CERRADO,N/A,4133.5,0.0993,0.056,0,311.78,412.64
SITIO GRANDE 2,03-12-73,CERRADO,N/A,4212.5,0.0932,0.056,0,318.38,393
SITIO GRANDE 2,26-03-73,CERRADO,N/A,4212.5,0.0942,0.056,0,317.68,361.41
SITIO GRANDE 4,15-03-73,CERRADO,N/A,4692.5,0.0982,0.056,0,313.58,430.2
SITIO GRANDE 4,04-05-73,CERRADO,N/A,4692.5,0.0967,0.056,0,332.23,260.32
SITIO GRANDE 4,06-05-73,CERRADO,N/A,4537,0.1003,0.056,0,331.03,422.1
SITIO GRANDE 4,06-06-73,CERRADO,N/A,4537,0.1016,0.056,0,330.23,429.4
SITIO GRANDE 4,16-06-73,CERRADO,N/A,4434,0.0925,0.056,0,305.76,438.02
SITIO GRANDE 5,18-11-73,CERRADO,N/A,3974,0.0934,0.056,0,304.12,421.81
SITIO GRANDE 5,02-10-74,CERRADO,N/A,3974,0.105,0.056,0,306.22,412.11
SITIO GRANDE 5,22-02-79,CERRADO,N/A,3974,0.1073,0.056,0,309.92,335.22
SITIO GRANDE 5,16-05-79,CERRADO,N/A,3974,0.0954,0.056,0,308.82,333
SITIO GRANDE 5,16-02-82,CERRADO,N/A,3974,0.1003,0.056,0,305.72,326.92
SITIO GRANDE 5,10-04-82,CERRADO,N/A,3941.5,0.0952,0.056,0,325.78,328.22
SITIO GRANDE 5,25-10-82,CERRADO,N/A,3941.5,0.0959,0.056,0,301.12,341.8
SITIO GRANDE 5,07-04-83,CERRADO,N/A,3941.5,0.0951,0.056,0,299.68,350.94
SITIO GRANDE 5,31-08-83,CERRADO,N/A,3941.5,0.0984,0.056,0,304.34,347.7
SITIO GRANDE 5,12-08-83,CERRADO,N/A,3941.5,0.0974,0.056,0,301.34,336.94
SITIO GRANDE 5,03-09-84,CERRADO,N/A,3941.5,0.0966,0.056,0,300.94,346.26
SITIO GRANDE 5,28-04-84,CERRADO,N/A,3941.5,0.1061,0.056,0,319.18,345.56
SITIO GRANDE 5,08-06-84,CERRADO,N/A,3941.5,0.0938,0.056,0,321.68,342.14
SITIO GRANDE 5,11-04-84,CERRADO,N/A,3941.5,0.0942,0.056,0,323.28,337.89
